filename,writer,page_id,language,same_text,final_role
0001_1.jpg,1,1,Arabic,0,refit
0001_2.jpg,1,2,Arabic,1,refit
0001_3.jpg,1,3,English,0,refit
0001_4.jpg,1,4,English,1,refit
0002_1.jpg,2,1,Arabic,0,refit
0002_2.jpg,2,2,Arabic,1,refit
0002_3.jpg,2,3,English,0,refit
0002_4.jpg,2,4,English,1,refit
0003_1.jpg,3,1,Arabic,0,refit
0003_2.jpg,3,2,Arabic,1,refit
0003_3.jpg,3,3,English,0,refit
0003_4.jpg,3,4,English,1,refit
0005_1.jpg,5,1,Arabic,0,monitor
0005_2.jpg,5,2,Arabic,1,monitor
0005_3.jpg,5,3,English,0,monitor
0005_4.jpg,5,4,English,1,monitor
0006_1.jpg,6,1,Arabic,0,refit
0006_2.jpg,6,2,Arabic,1,refit
0006_3.jpg,6,3,English,0,refit
0006_4.jpg,6,4,English,1,refit
0007_1.jpg,7,1,Arabic,0,refit
0007_2.jpg,7,2,Arabic,1,refit
0007_3.jpg,7,3,English,0,refit
0007_4.jpg,7,4,English,1,refit
0008_1.jpg,8,1,Arabic,0,refit
0008_2.jpg,8,2,Arabic,1,refit
0008_3.jpg,8,3,English,0,refit
0008_4.jpg,8,4,English,1,refit
0009_1.jpg,9,1,Arabic,0,monitor
0009_2.jpg,9,2,Arabic,1,monitor
0009_3.jpg,9,3,English,0,monitor
0009_4.jpg,9,4,English,1,monitor
0010_1.jpg,10,1,Arabic,0,monitor
0010_2.jpg,10,2,Arabic,1,monitor
0010_3.jpg,10,3,English,0,monitor
0010_4.jpg,10,4,English,1,monitor
0011_1.jpg,11,1,Arabic,0,refit
0011_2.jpg,11,2,Arabic,1,refit
0011_3.jpg,11,3,English,0,refit
0011_4.jpg,11,4,English,1,refit
0012_1.jpg,12,1,Arabic,0,refit
0012_2.jpg,12,2,Arabic,1,refit
0012_3.jpg,12,3,English,0,refit
0012_4.jpg,12,4,English,1,refit
0015_1.jpg,15,1,Arabic,0,refit
0015_2.jpg,15,2,Arabic,1,refit
0015_3.jpg,15,3,English,0,refit
0015_4.jpg,15,4,English,1,refit
0018_1.jpg,18,1,Arabic,0,refit
0018_2.jpg,18,2,Arabic,1,refit
0018_3.jpg,18,3,English,0,refit
0018_4.jpg,18,4,English,1,refit
0019_1.jpg,19,1,Arabic,0,refit
0019_2.jpg,19,2,Arabic,1,refit
0019_3.jpg,19,3,English,0,refit
0019_4.jpg,19,4,English,1,refit
0020_1.jpg,20,1,Arabic,0,refit
0020_2.jpg,20,2,Arabic,1,refit
0020_3.jpg,20,3,English,0,refit
0020_4.jpg,20,4,English,1,refit
0021_1.jpg,21,1,Arabic,0,refit
0021_2.jpg,21,2,Arabic,1,refit
0021_3.jpg,21,3,English,0,refit
0021_4.jpg,21,4,English,1,refit
0022_1.jpg,22,1,Arabic,0,refit
0022_2.jpg,22,2,Arabic,1,refit
0022_3.jpg,22,3,English,0,refit
0022_4.jpg,22,4,English,1,refit
0025_1.jpg,25,1,Arabic,0,refit
0025_2.jpg,25,2,Arabic,1,refit
0025_3.jpg,25,3,English,0,refit
0025_4.jpg,25,4,English,1,refit
0026_1.jpg,26,1,Arabic,0,refit
0026_2.jpg,26,2,Arabic,1,refit
0026_3.jpg,26,3,English,0,refit
0026_4.jpg,26,4,English,1,refit
0027_1.jpg,27,1,Arabic,0,refit
0027_2.jpg,27,2,Arabic,1,refit
0027_3.jpg,27,3,English,0,refit
0027_4.jpg,27,4,English,1,refit
0028_1.jpg,28,1,Arabic,0,monitor
0028_2.jpg,28,2,Arabic,1,monitor
0028_3.jpg,28,3,English,0,monitor
0028_4.jpg,28,4,English,1,monitor
0029_1.jpg,29,1,Arabic,0,refit
0029_2.jpg,29,2,Arabic,1,refit
0029_3.jpg,29,3,English,0,refit
0029_4.jpg,29,4,English,1,refit
0030_1.jpg,30,1,Arabic,0,refit
0030_2.jpg,30,2,Arabic,1,refit
0030_3.jpg,30,3,English,0,refit
0030_4.jpg,30,4,English,1,refit
0031_1.jpg,31,1,Arabic,0,refit
0031_2.jpg,31,2,Arabic,1,refit
