epoch,batches,writers_seen,writer_base_loss,arabic_metric_loss,cross_metric_loss,script_head_step_loss,script_head_step_accuracy,post_step_script_loss,post_step_script_accuracy,script_head_gradient_norm_mean,projection_gradient_norm_mean,projection_gradient_norm_max,projection_gradient_clipping_events
1,18,145,0.41131323244836593,0.1936722695827484,0.2176409653491444,0.9036649233765073,0.6275862068965518,0.9595501555336846,0.6,0.4160287832706559,0.29629241592354244,0.43356505036354065,0
2,18,145,0.3689957476324505,0.16642743514643776,0.2025683108303282,1.4266801873842876,0.5,1.4179100328021579,0.5,0.797150763563976,0.27367445743746227,0.3691576421260834,0
3,18,145,0.3289559781551361,0.1417059534125858,0.1872500255703926,1.3035224609904819,0.5,1.2989938656489055,0.5,0.7450192885415635,0.27547330574856865,0.4990631341934204,0
4,18,145,0.31567362282011246,0.13268287314309013,0.18299074802133772,1.1982164184252422,0.5,1.1936089793841045,0.5,0.6983317229643784,0.26615893261300194,0.3991975784301758,0
5,18,145,0.30191153205103344,0.12428623893194729,0.17762529022163814,1.0933871004316542,0.5,1.0891989833778806,0.5,0.6405061283711388,0.2708701251281632,0.42001649737358093,0
6,18,145,0.28972169756889343,0.11868192834986581,0.17103976839118534,1.002924253543218,0.5,0.9989858965078989,0.5,0.5732347668899391,0.29192156261867946,0.48373743891716003,0
7,18,145,0.2774578200446235,0.1124548605746693,0.16500296029779646,0.9278185864289602,0.5,0.9244737095303006,0.5,0.5001775319721194,0.3040754629506005,0.4474339783191681,0
8,18,145,0.26971913791365093,0.10855717791451348,0.16116196082697976,0.8648329575856527,0.5,0.8620099789566464,0.5,0.4268190283466571,0.3093644306063652,0.5417070984840393,0
9,18,145,0.2616853498750263,0.1030536289844248,0.15863172130452263,0.8240430057048798,0.5,0.8223651912477281,0.5,0.3696159735533983,0.2726573505335384,0.43197742104530334,0
10,18,145,0.2563060224056244,0.1009509488940239,0.1553550726837582,0.7950244247913361,0.5,0.7931254903475443,0.5,0.3155016392779539,0.27651316506995094,0.4409506916999817,0
