epoch,batch,batch_size,writer_base_loss,arabic_metric_loss,cross_metric_loss,script_head_step_loss,script_head_step_accuracy,script_head_gradient_norm,projection_step_script_loss,projection_step_total_loss,projection_gradient_norm_before_clip,projection_gradient_clipping_activated,post_step_script_loss,post_step_script_accuracy,training_seed
1,1,8,0.45000821352005005,0.21952931582927704,0.2304789125919342,0.5931294560432434,0.84375,0.054219490990998424,0.5924104452133179,1.0424187183380127,0.17641356587409973,False,0.5872884392738342,0.84375,42
1,2,8,0.46462494134902954,0.22995096445083618,0.23467397689819336,0.555263340473175,0.875,0.07540412470146407,0.5543920397758484,1.019016981124878,0.1320108324289322,False,0.5476754903793335,0.84375,42
1,3,8,0.422404944896698,0.20381270349025726,0.21859225630760193,0.5770822763442993,0.78125,0.07673807236188965,0.5762908458709717,0.9986957907676697,0.28342851996421814,False,0.5705331563949585,0.78125,42
1,4,8,0.47084468603134155,0.21284577250480652,0.25799891352653503,0.5628700852394104,0.78125,0.0762595205650884,0.5621278882026672,1.0329725742340088,0.29258787631988525,False,0.5706939697265625,0.71875,42
1,5,8,0.40451890230178833,0.17007015645503998,0.23444876074790955,0.5510180592536926,0.8125,0.10148409425104515,0.5500178337097168,0.9545367360115051,0.2738680839538574,False,0.5684748291969299,0.78125,42
1,6,8,0.39355382323265076,0.1756519377231598,0.21790188550949097,0.5718086957931519,0.84375,0.0906538231989772,0.5709714889526367,0.9645253419876099,0.19455139338970184,False,0.5849046111106873,0.78125,42
1,7,8,0.41428565979003906,0.19645190238952637,0.2178337574005127,0.60406893491745,0.71875,0.13189621790008974,0.6029703617095947,1.0172560214996338,0.159651517868042,False,0.6337590217590332,0.5625,42
1,8,8,0.44913992285728455,0.21670690178871155,0.232433021068573,0.5961278080940247,0.65625,0.19762271181282848,0.594701886177063,1.04384183883667,0.22600743174552917,False,0.6491748690605164,0.5,42
1,9,8,0.3570105731487274,0.1694680154323578,0.18754255771636963,0.6501295566558838,0.5,0.2864709354485843,0.6484090685844421,1.0054196119308472,0.3391164243221283,False,0.7283908128738403,0.5,42
1,10,8,0.4199902415275574,0.20905590057373047,0.2109343409538269,0.7278055548667908,0.5,0.41840567631672954,0.7251981496810913,1.145188331604004,0.34793946146965027,False,0.8700822591781616,0.5,42
