role,condition,arabic_writer,english_writer,arabic_filename,english_filename,label,cls_cosine,foreground_mean_cosine,symmetric_nearest_token,arabic_to_english_nearest,english_to_arabic_nearest,arabic_token_count,english_token_count,mean_token_count,token_count_ratio
exploration,cross_variable_variable,1,1,0001_1.jpg,0001_3.jpg,1,0.564302921295166,0.836362361907959,0.8310840725898743,0.828022837638855,0.8341453075408936,277,234,255.5,1.1837606837606838
exploration,cross_variable_variable,1,27,0001_1.jpg,0027_3.jpg,0,0.5198589563369751,0.80980384349823,0.7994465827941895,0.7989755272865295,0.7999176979064941,277,179,228.0,1.547486033519553
exploration,cross_variable_variable,1,29,0001_1.jpg,0029_3.jpg,0,0.4367600679397583,0.8004734516143799,0.7895979881286621,0.7850745916366577,0.7941213250160217,277,246,261.5,1.1260162601626016
exploration,cross_variable_variable,1,66,0001_1.jpg,0066_3.jpg,0,0.5043225288391113,0.8258839845657349,0.818905234336853,0.8176479935646057,0.8201624751091003,277,259,268.0,1.0694980694980696
exploration,cross_variable_variable,1,124,0001_1.jpg,0124_3.jpg,0,0.5304454565048218,0.8204833269119263,0.8014315366744995,0.7993276119232178,0.8035354614257812,277,149,213.0,1.8590604026845639
exploration,cross_variable_variable,1,125,0001_1.jpg,0125_3.jpg,0,0.5273537635803223,0.8318884372711182,0.8202292919158936,0.8158537149429321,0.8246049284934998,277,219,248.0,1.264840182648402
exploration,cross_variable_variable,1,189,0001_1.jpg,0189_3.jpg,0,0.48085975646972656,0.7945641279220581,0.7798032164573669,0.7811375260353088,0.778468906879425,277,222,249.5,1.2477477477477477
exploration,cross_variable_variable,1,206,0001_1.jpg,0206_3.jpg,0,0.45880937576293945,0.8218177556991577,0.8209409713745117,0.8163799047470093,0.8255020976066589,277,238,257.5,1.1638655462184875
exploration,cross_variable_variable,1,219,0001_1.jpg,0219_3.jpg,0,0.46858781576156616,0.8188611268997192,0.8105697631835938,0.8107811212539673,0.8103584051132202,277,239,258.0,1.1589958158995817
exploration,cross_variable_variable,1,242,0001_1.jpg,0242_3.jpg,0,0.5586479306221008,0.8371484279632568,0.8281245231628418,0.8235520124435425,0.8326970934867859,277,245,261.0,1.1306122448979592
exploration,cross_variable_variable,1,276,0001_1.jpg,0276_3.jpg,0,0.5014849305152893,0.834168553352356,0.8284193277359009,0.8254382610321045,0.8314003944396973,277,226,251.5,1.2256637168141593
exploration,cross_variable_variable,2,2,0002_1.jpg,0002_3.jpg,1,0.6987861394882202,0.898228645324707,0.8753968477249146,0.8760488629341125,0.8747448921203613,228,249,238.5,0.9156626506024096
exploration,cross_variable_variable,2,29,0002_1.jpg,0029_3.jpg,0,0.6037643551826477,0.8605178594589233,0.8466837406158447,0.8472055792808533,0.846161961555481,228,246,237.0,0.926829268292683
exploration,cross_variable_variable,2,30,0002_1.jpg,0030_3.jpg,0,0.6199066638946533,0.837323784828186,0.8256471753120422,0.8271223306655884,0.8241720199584961,228,269,248.5,0.8475836431226765
exploration,cross_variable_variable,2,67,0002_1.jpg,0067_3.jpg,0,0.5760733485221863,0.860334038734436,0.8553797602653503,0.8558244705200195,0.8549350500106812,228,262,245.0,0.8702290076335878
exploration,cross_variable_variable,2,125,0002_1.jpg,0125_3.jpg,0,0.6565819978713989,0.8824542760848999,0.8631172180175781,0.8635708093643188,0.8626636266708374,228,219,223.5,1.0410958904109588
exploration,cross_variable_variable,2,127,0002_1.jpg,0127_3.jpg,0,0.6401771903038025,0.8595870137214661,0.8522828221321106,0.8537612557411194,0.8508043885231018,228,235,231.5,0.9702127659574468
exploration,cross_variable_variable,2,191,0002_1.jpg,0191_3.jpg,0,0.6535203456878662,0.876365065574646,0.8612176775932312,0.8617199659347534,0.860715389251709,228,245,236.5,0.9306122448979591
exploration,cross_variable_variable,2,207,0002_1.jpg,0207_3.jpg,0,0.7007537484169006,0.8946883678436279,0.8718671202659607,0.8787805438041687,0.8649536967277527,228,219,223.5,1.0410958904109588
exploration,cross_variable_variable,2,220,0002_1.jpg,0220_3.jpg,0,0.570073127746582,0.8388974070549011,0.8256791234016418,0.8306829929351807,0.820675253868103,228,387,307.5,0.5891472868217055
exploration,cross_variable_variable,2,243,0002_1.jpg,0243_3.jpg,0,0.6049305200576782,0.8521829843521118,0.8330146074295044,0.8357248306274414,0.8303044438362122,228,232,230.0,0.9827586206896551
exploration,cross_variable_variable,2,279,0002_1.jpg,0279_3.jpg,0,0.6230789422988892,0.8691686391830444,0.8553911447525024,0.857223629951477,0.8535585999488831,228,244,236.0,0.9344262295081968
exploration,cross_variable_variable,3,3,0003_1.jpg,0003_3.jpg,1,0.5864112377166748,0.838909387588501,0.8345948457717896,0.8322923183441162,0.8368973731994629,254,255,254.5,0.996078431372549
exploration,cross_variable_variable,3,30,0003_1.jpg,0030_3.jpg,0,0.6038408279418945,0.8221230506896973,0.819246232509613,0.818794310092926,0.8196981549263,254,269,261.5,0.9442379182156134
exploration,cross_variable_variable,3,31,0003_1.jpg,0031_3.jpg,0,0.5660833120346069,0.8285574316978455,0.8265004754066467,0.826428234577179,0.8265727162361145,254,205,229.5,1.2390243902439024
exploration,cross_variable_variable,3,70,0003_1.jpg,0070_3.jpg,0,0.4990425109863281,0.796923816204071,0.787985622882843,0.7880724668502808,0.7878987789154053,254,223,238.5,1.1390134529147982
exploration,cross_variable_variable,3,127,0003_1.jpg,0127_3.jpg,0,0.57374507188797,0.8365057706832886,0.8361388444900513,0.8364320397377014,0.8358456492424011,254,235,244.5,1.0808510638297872
exploration,cross_variable_variable,3,130,0003_1.jpg,0130_3.jpg,0,0.557307243347168,0.8209832906723022,0.8194348812103271,0.8172258734703064,0.8216438889503479,254,276,265.0,0.9202898550724637
exploration,cross_variable_variable,3,192,0003_1.jpg,0192_3.jpg,0,0.6137468814849854,0.8543651700019836,0.8382095694541931,0.8370745778083801,0.8393445611000061,254,229,241.5,1.1091703056768558
exploration,cross_variable_variable,3,208,0003_1.jpg,0208_3.jpg,0,0.479888916015625,0.7820310592651367,0.7821720838546753,0.7852605581283569,0.7790836691856384,254,344,299.0,0.7383720930232558
exploration,cross_variable_variable,3,221,0003_1.jpg,0221_3.jpg,0,0.6747422218322754,0.843207597732544,0.8346138000488281,0.8297537565231323,0.8394739031791687,254,260,257.0,0.9769230769230769
exploration,cross_variable_variable,3,244,0003_1.jpg,0244_3.jpg,0,0.4744023382663727,0.786584198474884,0.7748183012008667,0.7793982625007629,0.7702383399009705,254,365,309.5,0.6958904109589041
exploration,cross_variable_variable,3,281,0003_1.jpg,0281_3.jpg,0,0.6393073201179504,0.8555067777633667,0.8477960824966431,0.8469036817550659,0.8486884832382202,254,230,242.0,1.1043478260869566
exploration,cross_variable_variable,6,6,0006_1.jpg,0006_3.jpg,1,0.6070643663406372,0.8061231374740601,0.8101165294647217,0.8050124645233154,0.8152205348014832,290,238,264.0,1.218487394957983
exploration,cross_variable_variable,6,31,0006_1.jpg,0031_3.jpg,0,0.5264599919319153,0.8214974403381348,0.8184913396835327,0.8178116083145142,0.8191710114479065,290,205,247.5,1.4146341463414633
exploration,cross_variable_variable,6,35,0006_1.jpg,0035_3.jpg,0,0.6466473340988159,0.8565471172332764,0.8525913953781128,0.8504467010498047,0.8547360897064209,290,218,254.0,1.3302752293577982
exploration,cross_variable_variable,6,71,0006_1.jpg,0071_3.jpg,0,0.5505231022834778,0.8151679039001465,0.8059582114219666,0.806523859500885,0.8053925633430481,290,370,330.0,0.7837837837837838
exploration,cross_variable_variable,6,130,0006_1.jpg,0130_3.jpg,0,0.548943817615509,0.8172707557678223,0.8197309970855713,0.8169714212417603,0.8224905133247375,290,276,283.0,1.0507246376811594
exploration,cross_variable_variable,6,132,0006_1.jpg,0132_3.jpg,0,0.5847331285476685,0.8252094984054565,0.8191093802452087,0.8191156387329102,0.8191031217575073,290,232,261.0,1.25
exploration,cross_variable_variable,6,196,0006_1.jpg,0196_3.jpg,0,0.5668959021568298,0.8023706674575806,0.7854915261268616,0.7858085632324219,0.7851744890213013,290,202,246.0,1.4356435643564356
exploration,cross_variable_variable,6,209,0006_1.jpg,0209_3.jpg,0,0.5925518274307251,0.8081581592559814,0.8040758967399597,0.8036590814590454,0.804492712020874,290,183,236.5,1.5846994535519126
exploration,cross_variable_variable,6,223,0006_1.jpg,0223_3.jpg,0,0.5039737224578857,0.809173583984375,0.8087542057037354,0.8120729923248291,0.8054354786872864,290,275,282.5,1.0545454545454545
exploration,cross_variable_variable,6,245,0006_1.jpg,0245_3.jpg,0,0.5456607341766357,0.8253754377365112,0.8149505853652954,0.8159615397453308,0.8139395713806152,290,281,285.5,1.0320284697508897
exploration,cross_variable_variable,6,282,0006_1.jpg,0282_3.jpg,0,0.6300502419471741,0.8151230812072754,0.816065788269043,0.8136032819747925,0.8185282349586487,290,208,249.0,1.3942307692307692
exploration,cross_variable_variable,7,7,0007_1.jpg,0007_3.jpg,1,0.6754552125930786,0.8627908825874329,0.8594744205474854,0.8561989665031433,0.8627499341964722,256,207,231.5,1.2367149758454106
exploration,cross_variable_variable,7,35,0007_1.jpg,0035_3.jpg,0,0.6497564315795898,0.8537842631340027,0.8384949564933777,0.8334982395172119,0.8434916734695435,256,218,237.0,1.1743119266055047
exploration,cross_variable_variable,7,38,0007_1.jpg,0038_3.jpg,0,0.6658124327659607,0.8617103099822998,0.8492704629898071,0.8467775583267212,0.8517634272575378,256,223,239.5,1.147982062780269
exploration,cross_variable_variable,7,74,0007_1.jpg,0074_3.jpg,0,0.6112779378890991,0.8502774238586426,0.8390545845031738,0.8351848125457764,0.8429243564605713,256,262,259.0,0.9770992366412213
exploration,cross_variable_variable,7,132,0007_1.jpg,0132_3.jpg,0,0.5915654897689819,0.8351343870162964,0.8148953914642334,0.8133760690689087,0.8164146542549133,256,232,244.0,1.103448275862069
exploration,cross_variable_variable,7,133,0007_1.jpg,0133_3.jpg,0,0.5934920310974121,0.8271930813789368,0.8093795776367188,0.8096179962158203,0.809141218662262,256,297,276.5,0.8619528619528619
