role,condition,arabic_writer,english_writer,arabic_filename,english_filename,label
exploration,cross_variable_variable,1,1,0001_1.jpg,0001_3.jpg,1
exploration,cross_variable_variable,1,27,0001_1.jpg,0027_3.jpg,0
exploration,cross_variable_variable,1,29,0001_1.jpg,0029_3.jpg,0
exploration,cross_variable_variable,1,66,0001_1.jpg,0066_3.jpg,0
exploration,cross_variable_variable,1,124,0001_1.jpg,0124_3.jpg,0
exploration,cross_variable_variable,1,125,0001_1.jpg,0125_3.jpg,0
exploration,cross_variable_variable,1,189,0001_1.jpg,0189_3.jpg,0
exploration,cross_variable_variable,1,206,0001_1.jpg,0206_3.jpg,0
exploration,cross_variable_variable,1,219,0001_1.jpg,0219_3.jpg,0
exploration,cross_variable_variable,1,242,0001_1.jpg,0242_3.jpg,0
exploration,cross_variable_variable,1,276,0001_1.jpg,0276_3.jpg,0
exploration,cross_variable_variable,2,2,0002_1.jpg,0002_3.jpg,1
exploration,cross_variable_variable,2,29,0002_1.jpg,0029_3.jpg,0
exploration,cross_variable_variable,2,30,0002_1.jpg,0030_3.jpg,0
exploration,cross_variable_variable,2,67,0002_1.jpg,0067_3.jpg,0
exploration,cross_variable_variable,2,125,0002_1.jpg,0125_3.jpg,0
exploration,cross_variable_variable,2,127,0002_1.jpg,0127_3.jpg,0
exploration,cross_variable_variable,2,191,0002_1.jpg,0191_3.jpg,0
exploration,cross_variable_variable,2,207,0002_1.jpg,0207_3.jpg,0
exploration,cross_variable_variable,2,220,0002_1.jpg,0220_3.jpg,0
exploration,cross_variable_variable,2,243,0002_1.jpg,0243_3.jpg,0
exploration,cross_variable_variable,2,279,0002_1.jpg,0279_3.jpg,0
exploration,cross_variable_variable,3,3,0003_1.jpg,0003_3.jpg,1
exploration,cross_variable_variable,3,30,0003_1.jpg,0030_3.jpg,0
exploration,cross_variable_variable,3,31,0003_1.jpg,0031_3.jpg,0
exploration,cross_variable_variable,3,70,0003_1.jpg,0070_3.jpg,0
exploration,cross_variable_variable,3,127,0003_1.jpg,0127_3.jpg,0
