role,condition,arabic_writer,english_writer,arabic_filename,english_filename,label,cls_cosine,foreground_mean_cosine,symmetric_nearest_token,arabic_to_english_nearest,english_to_arabic_nearest,arabic_token_count,english_token_count,mean_token_count,token_count_ratio,mutual_nearest_token,mutual_match_count,mutual_match_fraction,mutual_partial_mass,cls_z,mutual_local_z,cls_mutual_equal_fusion
exploration,cross_variable_variable,1,1,0001_1.jpg,0001_3.jpg,1,0.564302921295166,0.836362361907959,0.8310840725898743,0.828022837638855,0.8341453075408936,277,234,255.5,1.1837606837606838,0.852699875831604,36,0.15384615384615385,0.13118459628178525,0.21678890531054168,1.0668589858244668,0.6418239455675042
exploration,cross_variable_variable,1,27,0001_1.jpg,0027_3.jpg,0,0.5198589563369751,0.80980384349823,0.7994465827941895,0.7989755272865295,0.7999176979064941,277,179,228.0,1.547486033519553,0.8259120583534241,22,0.12290502793296089,0.10150874460209681,-0.460604442942477,0.3572278352023846,-0.05168830387004619
exploration,cross_variable_variable,1,29,0001_1.jpg,0029_3.jpg,0,0.4367600679397583,0.8004734516143799,0.7895979881286621,0.7850745916366577,0.7941213250160217,277,246,261.5,1.1260162601626016,0.8131236433982849,35,0.14227642276422764,0.11568832324772346,-1.7271573776423406,0.018452284464062857,-0.8543525465891388
exploration,cross_variable_variable,1,66,0001_1.jpg,0066_3.jpg,0,0.5043225288391113,0.8258839845657349,0.818905234336853,0.8176479935646057,0.8201624751091003,277,259,268.0,1.0694980694980696,0.8539084196090698,33,0.1274131274131274,0.10879914226679267,-0.6974031320911284,1.0988742969665113,0.20073558243769146
exploration,cross_variable_variable,1,124,0001_1.jpg,0124_3.jpg,0,0.5304454565048218,0.8204833269119263,0.8014315366744995,0.7993276119232178,0.8035354614257812,277,149,213.0,1.8590604026845639,0.8298487067222595,25,0.16778523489932887,0.13923636018829857,-0.29925014429417046,0.46151286379221834,0.08113135974902394
exploration,cross_variable_variable,1,125,0001_1.jpg,0125_3.jpg,0,0.5273537635803223,0.8318884372711182,0.8202292919158936,0.8158537149429321,0.8246049284934998,277,219,248.0,1.264840182648402,0.8445563912391663,36,0.1643835616438356,0.13883118760095883,-0.3463722276606528,0.8511314318304923,0.2523796020849198
exploration,cross_variable_variable,1,189,0001_1.jpg,0189_3.jpg,0,0.48085975646972656,0.7945641279220581,0.7798032164573669,0.7811375260353088,0.778468906879425,277,222,249.5,1.2477477477477477,0.8073634505271912,42,0.1891891891891892,0.15274443658622536,-1.0550113236543075,-0.13413992646349576,-0.5945756250589016
exploration,cross_variable_variable,1,206,0001_1.jpg,0206_3.jpg,0,0.45880937576293945,0.8218177556991577,0.8209409713745117,0.8163799047470093,0.8255020976066589,277,238,257.5,1.1638655462184875,0.8479778170585632,37,0.15546218487394958,0.13182848416456655,-1.3910925268339862,0.9417677945339663,-0.22466236615000995
exploration,cross_variable_variable,1,219,0001_1.jpg,0219_3.jpg,0,0.46858781576156616,0.8188611268997192,0.8105697631835938,0.8107811212539673,0.8103584051132202,277,239,258.0,1.1589958158995817,0.8442310690879822,31,0.1297071129707113,0.10950277465157929,-1.2420542891881745,0.8425133825005812,-0.19977045334379667
exploration,cross_variable_variable,1,242,0001_1.jpg,0242_3.jpg,0,0.5586479306221008,0.8371484279632568,0.8281245231628418,0.8235520124435425,0.8326970934867859,277,245,261.0,1.1306122448979592,0.8531146049499512,41,0.1673469387755102,0.14276611756305305,0.13059828145484456,1.0778454986931958,0.6042218900740202
