filename,writer,page_id,language,foreground_tokens,feature_dim,patch_rows,patch_cols,height,width,token_norm_mean,cls_norm,cache_bytes
0001_1.jpg,1,1,Arabic,277,384,48,35,768,560,1.0,1.0,430820
0001_2.jpg,1,2,Arabic,360,384,48,35,768,560,1.0,0.9999999403953552,558972
0001_3.jpg,1,3,English,234,384,48,35,768,560,1.0,1.0,364428
0001_4.jpg,1,4,English,478,384,48,35,768,560,1.0,0.9999999403953552,741164
0002_1.jpg,2,1,Arabic,228,384,48,35,768,560,1.0,1.0,355164
0002_2.jpg,2,2,Arabic,363,384,48,35,768,560,1.0,1.0,563604
0002_3.jpg,2,3,English,249,384,48,36,768,576,1.0,1.0,387588
0002_4.jpg,2,4,English,377,384,48,35,768,560,1.0,1.0,585220
0003_1.jpg,3,1,Arabic,254,384,48,35,768,560,1.0,1.0,395308
0003_2.jpg,3,2,Arabic,436,384,48,35,768,560,1.0,0.9999999403953552,676316
0003_3.jpg,3,3,English,255,384,48,35,768,560,1.0,1.0,396852
0003_4.jpg,3,4,English,531,384,48,35,768,560,1.0,1.0,822996
0005_1.jpg,5,1,Arabic,273,384,48,35,768,560,1.0,1.0,424644
0005_2.jpg,5,2,Arabic,464,384,48,35,768,560,1.0,0.9999999403953552,719548
0005_3.jpg,5,3,English,263,384,48,35,768,560,1.0,1.0,409204
0005_4.jpg,5,4,English,521,384,48,35,768,560,1.0,1.0,807556
0006_1.jpg,6,1,Arabic,290,384,48,35,768,560,1.0,0.9999999403953552,450892
0006_2.jpg,6,2,Arabic,416,384,48,35,768,560,1.0,1.0,645436
0006_3.jpg,6,3,English,238,384,48,35,768,560,1.0,0.9999999403953552,370604
0006_4.jpg,6,4,English,426,384,48,35,768,560,1.0,0.9999999403953552,660876
0007_1.jpg,7,1,Arabic,256,384,48,35,768,560,1.0,0.9999999403953552,398396
0007_2.jpg,7,2,Arabic,286,384,48,35,768,560,1.0,1.0,444716
0007_3.jpg,7,3,English,207,384,48,35,768,560,1.0,0.9999999403953552,322740
0007_4.jpg,7,4,English,345,384,48,35,768,560,1.0,1.0,535812
0008_1.jpg,8,1,Arabic,252,384,48,35,768,560,1.0,1.0,392220
0008_2.jpg,8,2,Arabic,426,384,48,35,768,560,1.0,1.0,660876
0008_3.jpg,8,3,English,250,384,48,35,768,560,1.0,0.9999999403953552,389132
0008_4.jpg,8,4,English,543,384,48,35,768,560,1.0,0.9999999403953552,841524
0009_1.jpg,9,1,Arabic,229,384,48,35,768,560,1.0,1.0,356708
0009_2.jpg,9,2,Arabic,380,384,48,35,768,560,1.0,1.0,589852
0009_3.jpg,9,3,English,254,384,48,35,768,560,1.0,1.0,395308
0009_4.jpg,9,4,English,538,384,48,35,768,560,1.0,1.0,833804
0010_1.jpg,10,1,Arabic,210,384,48,35,768,560,1.0,1.0,327372
0010_2.jpg,10,2,Arabic,502,384,48,35,768,560,1.0,1.0,778220
0010_3.jpg,10,3,English,285,384,48,35,768,560,1.0,0.9999999403953552,443172
0010_4.jpg,10,4,English,585,384,48,35,768,560,1.0,1.0,906372
0011_1.jpg,11,1,Arabic,238,384,48,35,768,560,1.0,0.9999999403953552,370604
0011_2.jpg,11,2,Arabic,365,384,48,35,768,560,1.0,1.0,566692
0011_3.jpg,11,3,English,239,384,48,35,768,560,1.0,0.9999999403953552,372148
0011_4.jpg,11,4,English,389,384,48,35,768,560,1.0,1.0,603748
0012_1.jpg,12,1,Arabic,256,384,48,35,768,560,1.0,0.9999999403953552,398396
0012_2.jpg,12,2,Arabic,412,384,48,35,768,560,1.0,1.0,639260
0012_3.jpg,12,3,English,297,384,48,35,768,560,1.0,1.0,461700
0012_4.jpg,12,4,English,382,384,48,35,768,560,1.0,1.0,592940
0015_1.jpg,15,1,Arabic,255,384,48,35,768,560,1.0,1.0,396852
0015_2.jpg,15,2,Arabic,347,384,48,35,768,560,1.0,1.0,538900
0015_3.jpg,15,3,English,252,384,48,35,768,560,1.0,0.9999999403953552,392220
0015_4.jpg,15,4,English,421,384,48,35,768,560,1.0,1.0,653156
0018_1.jpg,18,1,Arabic,309,384,48,35,768,560,1.0,0.9999999403953552,480228
0018_2.jpg,18,2,Arabic,431,384,48,35,768,560,1.0,1.0,668596
0018_3.jpg,18,3,English,264,384,48,35,768,560,1.0,0.9999999403953552,410748
0018_4.jpg,18,4,English,604,384,48,35,768,560,1.0,0.9999999403953552,935708
0019_1.jpg,19,1,Arabic,273,384,48,35,768,560,1.0,0.9999999403953552,424644
0019_2.jpg,19,2,Arabic,473,384,48,35,768,560,1.0,1.0,733444
0019_3.jpg,19,3,English,308,384,48,35,768,560,1.0,1.0,478684
0019_4.jpg,19,4,English,479,384,48,35,768,560,1.0,1.0,742708
0020_1.jpg,20,1,Arabic,208,384,48,35,768,560,1.0,0.9999999403953552,324284
0020_2.jpg,20,2,Arabic,363,384,48,35,768,560,1.0,1.0,563604
0020_3.jpg,20,3,English,200,384,48,35,768,560,1.0,0.9999999403953552,311932
0020_4.jpg,20,4,English,492,384,48,35,768,560,1.0,0.9999999403953552,762780
0021_1.jpg,21,1,Arabic,230,384,48,35,768,560,1.0,0.9999999403953552,358252
0021_2.jpg,21,2,Arabic,271,384,48,35,768,560,1.0,1.0,421556
0021_3.jpg,21,3,English,182,384,48,35,768,560,1.0,0.9999999403953552,284140
0021_4.jpg,21,4,English,339,384,48,35,768,560,1.0,1.0,526548
0022_1.jpg,22,1,Arabic,266,384,48,35,768,560,1.0,1.0,413836
0022_2.jpg,22,2,Arabic,347,384,48,35,768,560,1.0,1.0,538900
0022_3.jpg,22,3,English,235,384,48,35,768,560,1.0,1.0,365972
