role,condition,arabic_writer,english_writer,arabic_filename,english_filename,label,cls_cosine,foreground_mean_cosine
exploration,cross_variable_variable,1,1,0001_1.jpg,0001_3.jpg,1,0.564302921295166,0.836362361907959
exploration,cross_variable_variable,1,27,0001_1.jpg,0027_3.jpg,0,0.5198589563369751,0.80980384349823
exploration,cross_variable_variable,1,29,0001_1.jpg,0029_3.jpg,0,0.4367600679397583,0.8004734516143799
exploration,cross_variable_variable,1,66,0001_1.jpg,0066_3.jpg,0,0.5043225288391113,0.8258839845657349
exploration,cross_variable_variable,1,124,0001_1.jpg,0124_3.jpg,0,0.5304454565048218,0.8204833269119263
exploration,cross_variable_variable,1,125,0001_1.jpg,0125_3.jpg,0,0.5273537635803223,0.8318884372711182
exploration,cross_variable_variable,1,189,0001_1.jpg,0189_3.jpg,0,0.48085975646972656,0.7945641279220581
exploration,cross_variable_variable,1,206,0001_1.jpg,0206_3.jpg,0,0.45880937576293945,0.8218177556991577
exploration,cross_variable_variable,1,219,0001_1.jpg,0219_3.jpg,0,0.46858781576156616,0.8188611268997192
exploration,cross_variable_variable,1,242,0001_1.jpg,0242_3.jpg,0,0.5586479306221008,0.8371484279632568
exploration,cross_variable_variable,1,276,0001_1.jpg,0276_3.jpg,0,0.5014849305152893,0.834168553352356
exploration,cross_variable_variable,2,2,0002_1.jpg,0002_3.jpg,1,0.6987861394882202,0.898228645324707
exploration,cross_variable_variable,2,29,0002_1.jpg,0029_3.jpg,0,0.6037643551826477,0.8605178594589233
exploration,cross_variable_variable,2,30,0002_1.jpg,0030_3.jpg,0,0.6199066638946533,0.837323784828186
exploration,cross_variable_variable,2,67,0002_1.jpg,0067_3.jpg,0,0.5760733485221863,0.860334038734436
exploration,cross_variable_variable,2,125,0002_1.jpg,0125_3.jpg,0,0.6565819978713989,0.8824542760848999
exploration,cross_variable_variable,2,127,0002_1.jpg,0127_3.jpg,0,0.6401771903038025,0.8595870137214661
exploration,cross_variable_variable,2,191,0002_1.jpg,0191_3.jpg,0,0.6535203456878662,0.876365065574646
exploration,cross_variable_variable,2,207,0002_1.jpg,0207_3.jpg,0,0.7007537484169006,0.8946883678436279
exploration,cross_variable_variable,2,220,0002_1.jpg,0220_3.jpg,0,0.570073127746582,0.8388974070549011
exploration,cross_variable_variable,2,243,0002_1.jpg,0243_3.jpg,0,0.6049305200576782,0.8521829843521118
exploration,cross_variable_variable,2,279,0002_1.jpg,0279_3.jpg,0,0.6230789422988892,0.8691686391830444
exploration,cross_variable_variable,3,3,0003_1.jpg,0003_3.jpg,1,0.5864112377166748,0.838909387588501
exploration,cross_variable_variable,3,30,0003_1.jpg,0030_3.jpg,0,0.6038408279418945,0.8221230506896973
