filename,relative_path,writer_id,page_id,width,height,orientation,aspect_ratio,format,mode,file_size_bytes,sha256
0001_1.jpg,extracted/images/0001_1.jpg,1,1,2465,3383,portrait,0.728643,JPEG,RGB,975028,e7dbcff7e43371255a86c020955dfc361eb457b6a9baf6397fdc492fdd7decfc
0001_2.jpg,extracted/images/0001_2.jpg,1,2,2465,3371,portrait,0.731237,JPEG,RGB,1043897,3cca680037c7a750e694df83c96c6e9838579d381f49696d2cc0d37b7ed9a0b5
0001_3.jpg,extracted/images/0001_3.jpg,1,3,2471,3371,portrait,0.733017,JPEG,RGB,1295183,e4484f3b1d8be37850117a93cf105bcee3f7ac035dc471f72b3fc6c4655ab5ad
0001_4.jpg,extracted/images/0001_4.jpg,1,4,2465,3365,portrait,0.732541,JPEG,RGB,1547133,f931019e91835c6fc636c13601eecbf63bcdce3f4ecacc83a7e1c9c0d64780a1
0002_1.jpg,extracted/images/0002_1.jpg,2,1,2471,3359,portrait,0.735636,JPEG,RGB,1238100,4600ab6af7a7316b83473e38f285c9c78d423c3e9fc2156c167b91febcf3a1c3
0002_2.jpg,extracted/images/0002_2.jpg,2,2,2471,3353,portrait,0.736952,JPEG,RGB,1635124,30b85bac961b0e0c910a4938b3e4c85c553a6f3485d1af57f9f21ab3542f3482
0002_3.jpg,extracted/images/0002_3.jpg,2,3,2471,3341,portrait,0.739599,JPEG,RGB,1345816,a960e663749d142a4e5d6c70441390521713d4cb1479324b5f84c3e5269af5e9
0002_4.jpg,extracted/images/0002_4.jpg,2,4,2471,3353,portrait,0.736952,JPEG,RGB,1821929,8533a320707fbc136a2b83be4d004512d4ede5a4bdb70e4dcc94eae87478cf6d
0003_1.jpg,extracted/images/0003_1.jpg,3,1,2459,3371,portrait,0.729457,JPEG,RGB,1041906,a55adf3aca296aa4ac236a5c5a99fe59cfa5f1826329e5252d08febaeeac6375
0003_2.jpg,extracted/images/0003_2.jpg,3,2,2471,3377,portrait,0.731715,JPEG,RGB,1948644,741afb825f2e882b268264fdef3316831274730fa3282186692bdbf9597a414b
0003_3.jpg,extracted/images/0003_3.jpg,3,3,2459,3359,portrait,0.732063,JPEG,RGB,1700942,fa51e1f0310335da3812c2c97e8c9fc49e3a21776b247607d8c6ab5d227dcdd8
0003_4.jpg,extracted/images/0003_4.jpg,3,4,2465,3359,portrait,0.733849,JPEG,RGB,2186279,21b96e75d3d2a36a705a9129d255046d81be021d4e373d10514ef346afc0bae9
