filename_a,filename_b,writer_a,writer_b,page_a,page_b,condition,pair_label,embedding_index_a,embedding_index_b
0006_1.jpg,0006_3.jpg,6,6,1,3,cross_variable_variable,1,16,18
0006_1.jpg,0012_3.jpg,6,12,1,3,cross_variable_variable,0,16,42
0006_1.jpg,0015_3.jpg,6,15,1,3,cross_variable_variable,0,16,46
0006_1.jpg,0018_3.jpg,6,18,1,3,cross_variable_variable,0,16,50
0006_1.jpg,0035_3.jpg,6,35,1,3,cross_variable_variable,0,16,110
0006_1.jpg,0042_3.jpg,6,42,1,3,cross_variable_variable,0,16,126
0006_1.jpg,0043_3.jpg,6,43,1,3,cross_variable_variable,0,16,130
0006_1.jpg,0060_3.jpg,6,60,1,3,cross_variable_variable,0,16,174
0006_1.jpg,0066_3.jpg,6,66,1,3,cross_variable_variable,0,16,194
0006_1.jpg,0067_3.jpg,6,67,1,3,cross_variable_variable,0,16,198
0006_1.jpg,0079_3.jpg,6,79,1,3,cross_variable_variable,0,16,242
0006_1.jpg,0086_3.jpg,6,86,1,3,cross_variable_variable,0,16,258
0006_1.jpg,0087_3.jpg,6,87,1,3,cross_variable_variable,0,16,262
0006_1.jpg,0089_3.jpg,6,89,1,3,cross_variable_variable,0,16,266
0006_1.jpg,0091_3.jpg,6,91,1,3,cross_variable_variable,0,16,274
0006_1.jpg,0093_3.jpg,6,93,1,3,cross_variable_variable,0,16,282
0006_1.jpg,0106_3.jpg,6,106,1,3,cross_variable_variable,0,16,326
0006_1.jpg,0109_3.jpg,6,109,1,3,cross_variable_variable,0,16,334
0006_1.jpg,0114_3.jpg,6,114,1,3,cross_variable_variable,0,16,342
0006_1.jpg,0130_3.jpg,6,130,1,3,cross_variable_variable,0,16,390
0006_1.jpg,0132_3.jpg,6,132,1,3,cross_variable_variable,0,16,398
0006_1.jpg,0148_3.jpg,6,148,1,3,cross_variable_variable,0,16,446
0006_1.jpg,0154_3.jpg,6,154,1,3,cross_variable_variable,0,16,462
0006_1.jpg,0161_3.jpg,6,161,1,3,cross_variable_variable,0,16,490
0006_1.jpg,0200_3.jpg,6,200,1,3,cross_variable_variable,0,16,606
0006_1.jpg,0204_3.jpg,6,204,1,3,cross_variable_variable,0,16,622
0006_1.jpg,0216_3.jpg,6,216,1,3,cross_variable_variable,0,16,666
0006_1.jpg,0219_3.jpg,6,219,1,3,cross_variable_variable,0,16,674
0006_1.jpg,0224_3.jpg,6,224,1,3,cross_variable_variable,0,16,694
0006_1.jpg,0237_3.jpg,6,237,1,3,cross_variable_variable,0,16,734
0006_1.jpg,0239_3.jpg,6,239,1,3,cross_variable_variable,0,16,742
0006_1.jpg,0248_3.jpg,6,248,1,3,cross_variable_variable,0,16,778
0006_1.jpg,0266_3.jpg,6,266,1,3,cross_variable_variable,0,16,846
0006_1.jpg,0271_3.jpg,6,271,1,3,cross_variable_variable,0,16,866
0006_1.jpg,0279_3.jpg,6,279,1,3,cross_variable_variable,0,16,894
0006_1.jpg,0282_3.jpg,6,282,1,3,cross_variable_variable,0,16,902
0012_1.jpg,0006_3.jpg,12,6,1,3,cross_variable_variable,0,40,18
0012_1.jpg,0012_3.jpg,12,12,1,3,cross_variable_variable,1,40,42
0012_1.jpg,0015_3.jpg,12,15,1,3,cross_variable_variable,0,40,46
0012_1.jpg,0018_3.jpg,12,18,1,3,cross_variable_variable,0,40,50
0012_1.jpg,0035_3.jpg,12,35,1,3,cross_variable_variable,0,40,110
0012_1.jpg,0042_3.jpg,12,42,1,3,cross_variable_variable,0,40,126
0012_1.jpg,0043_3.jpg,12,43,1,3,cross_variable_variable,0,40,130
0012_1.jpg,0060_3.jpg,12,60,1,3,cross_variable_variable,0,40,174
0012_1.jpg,0066_3.jpg,12,66,1,3,cross_variable_variable,0,40,194
0012_1.jpg,0067_3.jpg,12,67,1,3,cross_variable_variable,0,40,198
0012_1.jpg,0079_3.jpg,12,79,1,3,cross_variable_variable,0,40,242
0012_1.jpg,0086_3.jpg,12,86,1,3,cross_variable_variable,0,40,258
0012_1.jpg,0087_3.jpg,12,87,1,3,cross_variable_variable,0,40,262
0012_1.jpg,0089_3.jpg,12,89,1,3,cross_variable_variable,0,40,266
0012_1.jpg,0091_3.jpg,12,91,1,3,cross_variable_variable,0,40,274
0012_1.jpg,0093_3.jpg,12,93,1,3,cross_variable_variable,0,40,282
0012_1.jpg,0106_3.jpg,12,106,1,3,cross_variable_variable,0,40,326
0012_1.jpg,0109_3.jpg,12,109,1,3,cross_variable_variable,0,40,334
