epoch,batch,batch_size,base_loss,arabic_metric_loss,cross_metric_loss,ctmd_loss,scaled_ctmd_loss,total_loss,confirmed_margins,possible_margins,active_conditions,gradient_norm_before_clip,gradient_clipping_activated,frozen_gradients_present,backbone_training_flag,layer4_training_flag
1,1,8,0.38071537017822266,0.18631282448768616,0.1944025456905365,0.11581899225711823,0.026546381413936615,0.40726175904273987,64,64,4,1.1911300420761108,False,False,False,False
1,2,8,0.4016399085521698,0.18058069050312042,0.22105921804904938,0.1592501550912857,0.03650105372071266,0.43814095854759216,64,64,4,1.0131330490112305,False,False,False,False
1,3,8,0.4464157223701477,0.22835670411586761,0.2180590033531189,0.1812751293182373,0.041549306362867355,0.48796501755714417,64,64,4,0.8788511157035828,False,False,False,False
1,4,8,0.41935670375823975,0.18763314187526703,0.23172354698181152,0.18117164075374603,0.04152558743953705,0.460882306098938,64,64,4,0.9897447824478149,False,False,False,False
1,5,8,0.4231588840484619,0.19068282842636108,0.23247605562210083,0.22224043309688568,0.050938788801431656,0.47409766912460327,64,64,4,1.047134518623352,False,False,False,False
1,6,8,0.43049174547195435,0.20533603429794312,0.22515571117401123,0.12969082593917847,0.02972588501870632,0.4602176249027252,64,64,4,1.1362299919128418,False,False,False,False
1,7,8,0.4298093020915985,0.21127349138259888,0.21853581070899963,0.11571750044822693,0.02652311883866787,0.45633241534233093,64,64,4,0.838146984577179,False,False,False,False
1,8,8,0.4154161512851715,0.19353029131889343,0.22188585996627808,0.11824239790439606,0.02710184082388878,0.4425179958343506,64,64,4,0.9308938980102539,False,False,False,False
1,9,8,0.4181120693683624,0.18929451704025269,0.22881755232810974,0.15057526528835297,0.0345127210021019,0.4526247978210449,64,64,4,0.9410281181335449,False,False,False,False
1,10,8,0.39162176847457886,0.17547392845153809,0.21614782512187958,0.1631963551044464,0.03740554675459862,0.4290273189544678,64,64,4,1.0827569961547852,False,False,False,False
1,11,8,0.4273553788661957,0.2017957866191864,0.22555959224700928,0.13081757724285126,0.029984144493937492,0.4573395252227783,64,64,4,1.287781834602356,False,False,False,False
1,12,8,0.4229491949081421,0.2084895372390747,0.21445965766906738,0.1653389036655426,0.03789662942290306,0.46084582805633545,64,64,4,1.0403940677642822,False,False,False,False
1,13,8,0.4135384261608124,0.1826697587966919,0.23086866736412048,0.14987033605575562,0.03435114771127701,0.4478895664215088,64,64,4,0.9693354368209839,False,False,False,False
1,14,8,0.3707576096057892,0.17172494530677795,0.19903266429901123,0.18752892315387726,0.042982712388038635,0.413740336894989,64,64,4,1.2663568258285522,False,False,False,False
1,15,8,0.3824480175971985,0.16376563906669617,0.2186823934316635,0.14514049887657166,0.03326703980565071,0.4157150685787201,64,64,4,1.0042551755905151,False,False,False,False
1,16,8,0.39724695682525635,0.1767541468143463,0.22049281001091003,0.1847447156906128,0.042344555258750916,0.43959152698516846,64,64,4,1.1916539669036865,False,False,False,False
1,17,8,0.41900700330734253,0.21310517191886902,0.2059018313884735,0.155706524848938,0.03568883612751961,0.45469585061073303,64,64,4,0.8771434426307678,False,False,False,False
1,18,9,0.41433578729629517,0.19202089309692383,0.22231489419937134,0.19704845547676086,0.045164644718170166,0.45950043201446533,72,72,4,1.1825413703918457,False,False,False,False
