epoch,offset,anchor_writer,partner_writer,filename_a,filename_b,pair_label
1,222,35,31,0035_1.jpg,0031_2.jpg,0
1,222,9,5,0009_1.jpg,0005_2.jpg,0
1,222,109,109,0109_1.jpg,0109_2.jpg,1
1,222,94,94,0094_1.jpg,0094_2.jpg,1
1,222,85,85,0085_1.jpg,0085_2.jpg,1
1,222,234,234,0234_1.jpg,0234_2.jpg,1
1,222,162,162,0162_1.jpg,0162_2.jpg,1
1,222,196,196,0196_1.jpg,0196_2.jpg,1
1,222,235,235,0235_1.jpg,0235_2.jpg,1
1,222,70,66,0070_1.jpg,0066_2.jpg,0
1,222,170,166,0170_1.jpg,0166_2.jpg,0
1,222,169,169,0169_1.jpg,0169_2.jpg,1
1,222,231,226,0231_1.jpg,0226_2.jpg,0
1,222,232,227,0232_1.jpg,0227_2.jpg,0
1,222,93,93,0093_1.jpg,0093_2.jpg,1
1,222,251,251,0251_1.jpg,0251_2.jpg,1
1,222,85,78,0085_1.jpg,0078_2.jpg,0
1,222,103,97,0103_1.jpg,0097_2.jpg,0
1,222,265,261,0265_1.jpg,0261_2.jpg,0
1,222,156,156,0156_1.jpg,0156_2.jpg,1
1,222,277,272,0277_1.jpg,0272_2.jpg,0
1,222,12,12,0012_1.jpg,0012_2.jpg,1
1,222,42,42,0042_1.jpg,0042_2.jpg,1
1,222,242,238,0242_1.jpg,0238_2.jpg,0
1,222,223,223,0223_1.jpg,0223_2.jpg,1
1,222,44,39,0044_1.jpg,0039_2.jpg,0
1,222,253,249,0253_1.jpg,0249_2.jpg,0
1,222,147,142,0147_1.jpg,0142_2.jpg,0
1,222,261,261,0261_1.jpg,0261_2.jpg,1
1,222,47,42,0047_1.jpg,0042_2.jpg,0
1,222,167,163,0167_1.jpg,0163_2.jpg,0
1,222,77,73,0077_1.jpg,0073_2.jpg,0
1,222,123,123,0123_1.jpg,0123_2.jpg,1
1,222,226,226,0226_1.jpg,0226_2.jpg,1
1,222,227,223,0227_1.jpg,0223_2.jpg,0
1,222,152,152,0152_1.jpg,0152_2.jpg,1
1,222,248,248,0248_1.jpg,0248_2.jpg,1
1,222,98,98,0098_1.jpg,0098_2.jpg,1
1,222,239,234,0239_1.jpg,0234_2.jpg,0
1,222,139,139,0139_1.jpg,0139_2.jpg,1
1,222,257,257,0257_1.jpg,0257_2.jpg,1
1,222,191,191,0191_1.jpg,0191_2.jpg,1
