filename,writer,page_id,language,same_text,experiment_split,original_width,original_height,resized_width,resized_height,padding_left,padding_top,padding_right,padding_bottom,output_width,output_height
0001_1.jpg,1,1,Arabic,0,development_train,2465,3383,280,384,52,0,52,0,384,384
0001_2.jpg,1,2,Arabic,1,development_train,2465,3371,281,384,51,0,52,0,384,384
0001_3.jpg,1,3,English,0,development_train,2471,3371,281,384,51,0,52,0,384,384
0001_4.jpg,1,4,English,1,development_train,2465,3365,281,384,51,0,52,0,384,384
0002_1.jpg,2,1,Arabic,0,development_train,2471,3359,282,384,51,0,51,0,384,384
0002_2.jpg,2,2,Arabic,1,development_train,2471,3353,283,384,50,0,51,0,384,384
0002_3.jpg,2,3,English,0,development_train,2471,3341,284,384,50,0,50,0,384,384
0002_4.jpg,2,4,English,1,development_train,2471,3353,283,384,50,0,51,0,384,384
0003_1.jpg,3,1,Arabic,0,development_train,2459,3371,280,384,52,0,52,0,384,384
0003_2.jpg,3,2,Arabic,1,development_train,2471,3377,281,384,51,0,52,0,384,384
0003_3.jpg,3,3,English,0,development_train,2459,3359,281,384,51,0,52,0,384,384
0003_4.jpg,3,4,English,1,development_train,2465,3359,282,384,51,0,51,0,384,384
0004_1.jpg,4,1,Arabic,0,validation,2471,3371,281,384,51,0,52,0,384,384
0004_2.jpg,4,2,Arabic,1,validation,2471,3365,282,384,51,0,51,0,384,384
0004_3.jpg,4,3,English,0,validation,2477,3365,283,384,50,0,51,0,384,384
0004_4.jpg,4,4,English,1,validation,2471,3359,282,384,51,0,51,0,384,384
0005_1.jpg,5,1,Arabic,0,development_train,2465,3371,281,384,51,0,52,0,384,384
0005_2.jpg,5,2,Arabic,1,development_train,2471,3377,281,384,51,0,52,0,384,384
0005_3.jpg,5,3,English,0,development_train,2471,3365,282,384,51,0,51,0,384,384
0005_4.jpg,5,4,English,1,development_train,2471,3371,281,384,51,0,52,0,384,384
0006_1.jpg,6,1,Arabic,0,development_train,2471,3377,281,384,51,0,52,0,384,384
0006_2.jpg,6,2,Arabic,1,development_train,2471,3365,282,384,51,0,51,0,384,384
0006_3.jpg,6,3,English,0,development_train,2477,3371,282,384,51,0,51,0,384,384
0006_4.jpg,6,4,English,1,development_train,2465,3383,280,384,52,0,52,0,384,384
0007_1.jpg,7,1,Arabic,0,development_train,2471,3377,281,384,51,0,52,0,384,384
0007_2.jpg,7,2,Arabic,1,development_train,2471,3365,282,384,51,0,51,0,384,384
0007_3.jpg,7,3,English,0,development_train,2471,3365,282,384,51,0,51,0,384,384
0007_4.jpg,7,4,English,1,development_train,2471,3371,281,384,51,0,52,0,384,384
0008_1.jpg,8,1,Arabic,0,development_train,2471,3371,281,384,51,0,52,0,384,384
0008_2.jpg,8,2,Arabic,1,development_train,2477,3365,283,384,50,0,51,0,384,384
0008_3.jpg,8,3,English,0,development_train,2477,3377,282,384,51,0,51,0,384,384
0008_4.jpg,8,4,English,1,development_train,2483,3365,283,384,50,0,51,0,384,384
0009_1.jpg,9,1,Arabic,0,development_train,2465,3371,281,384,51,0,52,0,384,384
0009_2.jpg,9,2,Arabic,1,development_train,2465,3371,281,384,51,0,52,0,384,384
0009_3.jpg,9,3,English,0,development_train,2471,3377,281,384,51,0,52,0,384,384
0009_4.jpg,9,4,English,1,development_train,2471,3377,281,384,51,0,52,0,384,384
