filename_a,filename_b,writer_a,writer_b,pair_label,pair_type
0096_1.jpg,0097_2.jpg,96,97,0,impostor
0055_1.jpg,0055_2.jpg,55,55,1,genuine
0147_1.jpg,0148_2.jpg,147,148,0,impostor
0142_1.jpg,0144_2.jpg,142,144,0,impostor
0202_1.jpg,0202_2.jpg,202,202,1,genuine
0250_1.jpg,0250_2.jpg,250,250,1,genuine
0086_1.jpg,0087_2.jpg,86,87,0,impostor
0134_1.jpg,0134_2.jpg,134,134,1,genuine
0223_1.jpg,0224_2.jpg,223,224,0,impostor
0040_1.jpg,0040_2.jpg,40,40,1,genuine
0095_1.jpg,0095_2.jpg,95,95,1,genuine
0214_1.jpg,0214_2.jpg,214,214,1,genuine
0183_1.jpg,0183_2.jpg,183,183,1,genuine
0191_1.jpg,0192_2.jpg,191,192,0,impostor
0168_1.jpg,0169_2.jpg,168,169,0,impostor
0074_1.jpg,0074_2.jpg,74,74,1,genuine
0226_1.jpg,0227_2.jpg,226,227,0,impostor
0002_1.jpg,0003_2.jpg,2,3,0,impostor
0213_1.jpg,0214_2.jpg,213,214,0,impostor
0107_1.jpg,0107_2.jpg,107,107,1,genuine
0101_1.jpg,0101_2.jpg,101,101,1,genuine
0171_1.jpg,0171_2.jpg,171,171,1,genuine
0030_1.jpg,0031_2.jpg,30,31,0,impostor
0156_1.jpg,0156_2.jpg,156,156,1,genuine
0258_1.jpg,0258_2.jpg,258,258,1,genuine
0273_1.jpg,0273_2.jpg,273,273,1,genuine
0104_1.jpg,0104_2.jpg,104,104,1,genuine
0271_1.jpg,0272_2.jpg,271,272,0,impostor
0011_1.jpg,0011_2.jpg,11,11,1,genuine
0153_1.jpg,0154_2.jpg,153,154,0,impostor
0202_1.jpg,0203_2.jpg,202,203,0,impostor
0027_1.jpg,0028_2.jpg,27,28,0,impostor
0245_1.jpg,0246_2.jpg,245,246,0,impostor
0152_1.jpg,0152_2.jpg,152,152,1,genuine
0276_1.jpg,0277_2.jpg,276,277,0,impostor
0100_1.jpg,0100_2.jpg,100,100,1,genuine
0070_1.jpg,0071_2.jpg,70,71,0,impostor
0123_1.jpg,0124_2.jpg,123,124,0,impostor
0163_1.jpg,0163_2.jpg,163,163,1,genuine
0103_1.jpg,0103_2.jpg,103,103,1,genuine
0077_1.jpg,0078_2.jpg,77,78,0,impostor
0122_1.jpg,0122_2.jpg,122,122,1,genuine
0100_1.jpg,0101_2.jpg,100,101,0,impostor
0096_1.jpg,0096_2.jpg,96,96,1,genuine
0248_1.jpg,0249_2.jpg,248,249,0,impostor
0098_1.jpg,0098_2.jpg,98,98,1,genuine
0093_1.jpg,0093_2.jpg,93,93,1,genuine
0232_1.jpg,0232_2.jpg,232,232,1,genuine
0237_1.jpg,0238_2.jpg,237,238,0,impostor
0256_1.jpg,0257_2.jpg,256,257,0,impostor
0067_1.jpg,0068_2.jpg,67,68,0,impostor
0044_1.jpg,0044_2.jpg,44,44,1,genuine
0026_1.jpg,0027_2.jpg,26,27,0,impostor
0116_1.jpg,0118_2.jpg,116,118,0,impostor
0196_1.jpg,0197_2.jpg,196,197,0,impostor
0225_1.jpg,0226_2.jpg,225,226,0,impostor
0015_1.jpg,0015_2.jpg,15,15,1,genuine
0221_1.jpg,0222_2.jpg,221,222,0,impostor
0021_1.jpg,0021_2.jpg,21,21,1,genuine
0268_1.jpg,0269_2.jpg,268,269,0,impostor
0166_1.jpg,0167_2.jpg,166,167,0,impostor
0001_1.jpg,0001_2.jpg,1,1,1,genuine
0027_1.jpg,0027_2.jpg,27,27,1,genuine
0085_1.jpg,0086_2.jpg,85,86,0,impostor
0095_1.jpg,0096_2.jpg,95,96,0,impostor
0075_1.jpg,0075_2.jpg,75,75,1,genuine
0073_1.jpg,0074_2.jpg,73,74,0,impostor
0150_1.jpg,0152_2.jpg,150,152,0,impostor
0094_1.jpg,0095_2.jpg,94,95,0,impostor
0251_1.jpg,0252_2.jpg,251,252,0,impostor
0262_1.jpg,0263_2.jpg,262,263,0,impostor
0206_1.jpg,0207_2.jpg,206,207,0,impostor
0033_1.jpg,0033_2.jpg,33,33,1,genuine
0254_1.jpg,0255_2.jpg,254,255,0,impostor
0103_1.jpg,0104_2.jpg,103,104,0,impostor
0188_1.jpg,0189_2.jpg,188,189,0,impostor
0059_1.jpg,0059_2.jpg,59,59,1,genuine
0264_1.jpg,0264_2.jpg,264,264,1,genuine
0272_1.jpg,0273_2.jpg,272,273,0,impostor
0155_1.jpg,0155_2.jpg,155,155,1,genuine
0010_1.jpg,0011_2.jpg,10,11,0,impostor
0081_1.jpg,0083_2.jpg,81,83,0,impostor
0087_1.jpg,0089_2.jpg,87,89,0,impostor
0030_1.jpg,0030_2.jpg,30,30,1,genuine
0063_1.jpg,0063_2.jpg,63,63,1,genuine
0266_1.jpg,0267_2.jpg,266,267,0,impostor
0277_1.jpg,0278_2.jpg,277,278,0,impostor
0179_1.jpg,0179_2.jpg,179,179,1,genuine
0125_1.jpg,0125_2.jpg,125,125,1,genuine
0076_1.jpg,0076_2.jpg,76,76,1,genuine
0246_1.jpg,0246_2.jpg,246,246,1,genuine
0032_1.jpg,0032_2.jpg,32,32,1,genuine
0025_1.jpg,0025_2.jpg,25,25,1,genuine
0089_1.jpg,0089_2.jpg,89,89,1,genuine
0098_1.jpg,0100_2.jpg,98,100,0,impostor
0169_1.jpg,0170_2.jpg,169,170,0,impostor
0042_1.jpg,0042_2.jpg,42,42,1,genuine
0110_1.jpg,0110_2.jpg,110,110,1,genuine
0200_1.jpg,0201_2.jpg,200,201,0,impostor
0165_1.jpg,0165_2.jpg,165,165,1,genuine
0239_1.jpg,0239_2.jpg,239,239,1,genuine
0203_1.jpg,0203_2.jpg,203,203,1,genuine
0127_1.jpg,0127_2.jpg,127,127,1,genuine
0235_1.jpg,0237_2.jpg,235,237,0,impostor
0219_1.jpg,0219_2.jpg,219,219,1,genuine
0063_1.jpg,0065_2.jpg,63,65,0,impostor
0074_1.jpg,0075_2.jpg,74,75,0,impostor
0219_1.jpg,0220_2.jpg,219,220,0,impostor
0139_1.jpg,0139_2.jpg,139,139,1,genuine
0110_1.jpg,0114_2.jpg,110,114,0,impostor
0007_1.jpg,0007_2.jpg,7,7,1,genuine
0062_1.jpg,0062_2.jpg,62,62,1,genuine
0206_1.jpg,0206_2.jpg,206,206,1,genuine
0170_1.jpg,0170_2.jpg,170,170,1,genuine
0212_1.jpg,0213_2.jpg,212,213,0,impostor
0079_1.jpg,0081_2.jpg,79,81,0,impostor
0022_1.jpg,0022_2.jpg,22,22,1,genuine
0246_1.jpg,0247_2.jpg,246,247,0,impostor
0274_1.jpg,0276_2.jpg,274,276,0,impostor
0129_1.jpg,0130_2.jpg,129,130,0,impostor
0005_1.jpg,0005_2.jpg,5,5,1,genuine
0026_1.jpg,0026_2.jpg,26,26,1,genuine
0223_1.jpg,0223_2.jpg,223,223,1,genuine
0079_1.jpg,0079_2.jpg,79,79,1,genuine
0276_1.jpg,0276_2.jpg,276,276,1,genuine
0005_1.jpg,0006_2.jpg,5,6,0,impostor
0224_1.jpg,0224_2.jpg,224,224,1,genuine
0085_1.jpg,0085_2.jpg,85,85,1,genuine
0147_1.jpg,0147_2.jpg,147,147,1,genuine
0078_1.jpg,0079_2.jpg,78,79,0,impostor
0278_1.jpg,0278_2.jpg,278,278,1,genuine
0039_1.jpg,0039_2.jpg,39,39,1,genuine
0197_1.jpg,0197_2.jpg,197,197,1,genuine
0055_1.jpg,0056_2.jpg,55,56,0,impostor
0034_1.jpg,0034_2.jpg,34,34,1,genuine
0009_1.jpg,0009_2.jpg,9,9,1,genuine
0239_1.jpg,0240_2.jpg,239,240,0,impostor
0145_1.jpg,0145_2.jpg,145,145,1,genuine
0007_1.jpg,0008_2.jpg,7,8,0,impostor
0250_1.jpg,0251_2.jpg,250,251,0,impostor
0157_1.jpg,0157_2.jpg,157,157,1,genuine
0153_1.jpg,0153_2.jpg,153,153,1,genuine
0247_1.jpg,0247_2.jpg,247,247,1,genuine
0226_1.jpg,0226_2.jpg,226,226,1,genuine
0145_1.jpg,0146_2.jpg,145,146,0,impostor
